ID,Brand,Name,Purchase,Retail,current,Unit,Variant,Code,Barcode,category,Description ,image path
20,AACHI,AACHI FISH CURRY 50G,17.33,26,26,50G,FISH CURRY,282,8.90602E+12,4,Product AACHI FISH CURRY 50G variant FISH CURRY unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI FISH CURRY 50G.png
21,AACHI,AACHI FISH FRY MASALA 50G,20.67,31,31,50G,FISH FRY MASALA,287,8.90602E+12,4,Product AACHI FISH FRY MASALA 50G variant FISH FRY MASALA unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI FISH FRY MASALA 50G.png
22,AACHI,AACHI FRIED RICE POWDER 15G,8,12,12,50G,FRIED RICE MX 50G,289,8.90421E+12,4,Product AACHI FRIED RICE POWDER 15G variant FRIED RICE MX 50G unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI FRIED RICE POWDER 15G.png
23,AACHI,AACHI GINGER GARLIC PASTE 100G,17.86,25,25,100G,GINGER GARLIC PASTE,301,8.90421E+12,4,Product AACHI GINGER GARLIC PASTE 100G variant GINGER GARLIC PASTE unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI GINGER GARLIC PASTE 100G.png
24,AACHI,AACHI IDLY CHILLI POWDER 50G,12,18,18,50G,IDLY CHUTNEY POWDER,307,8.90602E+12,4,Product AACHI IDLY CHILLI POWDER 50G variant IDLY CHUTNEY POWDER unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI IDLY CHILLI POWDER 50G.png
25,AACHI,AACHI LIME PICKLE 500G,69.64,100,100,300G,LIME PICKLE 300G,318,8.90421E+12,4,Product AACHI LIME PICKLE 500G variant LIME PICKLE 300G unit 300G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI LIME PICKLE 500G.png
26,AACHI,AACHI MADRAS SAMBAR POWDER 100G,30.67,46,46,100G,MADRAS SAMBAR,319,8.90602E+12,4,Product AACHI MADRAS SAMBAR POWDER 100G variant MADRAS SAMBAR unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI MADRAS SAMBAR POWDER 100G.png
27,AACHI,AACHI PANEER TIKKA MASALA 50G,23.38,30,30,50G,PANNEER TIKKA SAMOSA,331,8.90421E+12,4,Product AACHI PANEER TIKKA MASALA 50G variant PANNEER TIKKA SAMOSA unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI PANEER TIKKA MASALA 50G.png
28,AACHI,AACHI PULIYOGARE POWDER 100G,26.67,35,70,100G,PULIOGARE POWDER,333,8.90421E+12,4,Product AACHI PULIYOGARE POWDER 100G variant PULIOGARE POWDER unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI PULIYOGARE POWDER 100G.png
29,AACHI,AACHI SAMBAR POWDER 50G,16.67,25,25,50G,SAMBAR POWDER,345,8.90602E+12,4,Product AACHI SAMBAR POWDER 50G variant SAMBAR POWDER unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI SAMBAR POWDER 50G.png
30,AACHI,AACHI SCHEZWAN FRIED RICE POWDER 15G,8,12,12,15G,SCHEZWAN,346,8.90421E+12,4,Product AACHI SCHEZWAN FRIED RICE POWDER 15G variant SCHEZWAN unit 15G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI SCHEZWAN FRIED RICE POWDER 15G.png
31,AACHI,AACHI TURMERIC POWDER 100G,26,42,42,100G,TURMARIC,351,8.90602E+12,4,Product AACHI TURMERIC POWDER 100G variant TURMARIC unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI TURMERIC POWDER 100G.png
32,AACHI,AACHI TURMERIC POWDER 200G,52,84,84,200G,TURMERIC POWDER 200G,352,8.90602E+12,4,Product AACHI TURMERIC POWDER 200G variant TURMERIC POWDER 200G unit 200G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI TURMERIC POWDER 200G.png
33,AACHI,AACHI TURMERIC POWDER 500G,64.95,110,110,500G,TURMERIC POWDER,353,8.90602E+12,4,Product AACHI TURMERIC POWDER 500G variant TURMERIC POWDER unit 500G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI TURMERIC POWDER 500G.png
34,AACHI,AACHI TURMERIC POWDER 50G,13.65,21,21,50G,TURMERIC POWDER,354,8.90602E+12,4,Product AACHI TURMERIC POWDER 50G variant TURMERIC POWDER unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI TURMERIC POWDER 50G.png
35,ASHIRVAD,AASHIRVAAD ATTA 10KG,370.3,499,540,10KG,ATTA 10KG,356,8.90173E+12,3,Product AASHIRVAAD ATTA 10KG variant ATTA 10KG unit 10KG from brand ASHIRVAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD ATTA 10KG.png
36,ASHIRVAD,AASHIRVAAD ATTA 1KG,54.49,67,67,1KG,ATTA,367,8.90173E+12,3,Product AASHIRVAAD ATTA 1KG variant ATTA unit 1KG from brand ASHIRVAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD ATTA 1KG.png
37,ASHIRVAD,AASHIRVAAD ATTA 2KG,107.07,125,125,2KG,ATTA,373,8.90173E+12,3,Product AASHIRVAAD ATTA 2KG variant ATTA unit 2KG from brand ASHIRVAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD ATTA 2KG.png
38,ASHIRVAD,AASHIRVAAD ATTA 5KG FREE 50G CHILLI POWDER,219.56,260,278,5KG,ATTA,378,8.90173E+12,3,Product AASHIRVAAD ATTA 5KG FREE 50G CHILLI POWDER variant ATTA unit 5KG from brand ASHIRVAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD ATTA 5KG FREE 50G CHILLI POWDER.png
39,AASHIRVAAD,AASHIRVAAD BADAM MILK 180ML,22.44,30,30,180ML,BADAM MILK,391,8.90908E+12,2,Product AASHIRVAAD BADAM MILK 180ML variant BADAM MILK unit 180ML from brand AASHIRVAAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD BADAM MILK 180ML.png
40,ASHIRVAD,AASHIRVAAD SALT 1KG,24.96,30,30,1KG,ATTA,420,8.90173E+12,3,Product AASHIRVAAD SALT 1KG variant ATTA unit 1KG from brand ASHIRVAD.,/home/ubuntu/upload/unzipped_products/Final_Products/AASHIRVAAD SALT 1KG.png
41,AKSHAYAKALPA,AKSHAYAKALPA BUTTER MILK PLAIN 200ML,15.24,20,20,200ML,BUTTER MILK,652,8.908E+12,2,"Product AKSHAYAKALPA BUTTER MILK PLAIN 200ML variant BUTTER MILK unit 200ML from brand AKSHAYAKALPA.",/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA BUTTER MILK PLAIN 200ML.png
42,AKSHAYAKALPA,AKSHAYAKALPA COW MILK 500ML,36,40,40,500ML,COW,656,8.908E+12,2,"Product AKSHAYAKALPA COW MILK 500ML variant COW unit 500ML from brand AKSHAYAKALPA.",/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA COW MILK 500ML.png
43,AKSHAYAKALPA,AKSHAYAKALPA ORGANIC BUTTER MILK SPICED 200ML,15.24,20,20,200ML,BUTTER MILK,661,8.908E+12,2,Product AKSHAYAKALPA ORGANIC BUTTER MILK SPICED 200ML variant BUTTER MILK unit 200ML from brand AKSHAYAKALPA.,/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA ORGANIC BUTTER MILK SPICED 200ML.png
44,AKSHAYAKALPA,AKSHAYAKALPA ORGANIC COW MILK 1L,112.29,131,131,1L,COW MILK,664,8.908E+12,2,"Product AKSHAYAKALPA ORGANIC COW MILK 1L variant COW MILK unit 1L from brand AKSHAYAKALPA.",/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA ORGANIC COW MILK 1L.png
45,AKSHAYAKALPA,AKSHAYAKALPA ORGANIC SLIM MILK 1L,121.71,142,142,1L,MILK,679,8.908E+12,2,"Product AKSHAYAKALPA ORGANIC SLIM MILK 1L variant MILK unit 1L from brand AKSHAYAKALPA.",/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA ORGANIC SLIM MILK 1L.png
46,AKSHAYAKALPA,AKSHAYAKALPA ORGANIC SPICED BUTTERMILK 200ML,24.29,30,30,200ML,BUTTER MILK,682,8.908E+12,2,"Product AKSHAYAKALPA ORGANIC SPICED BUTTERMILK 200ML variant BUTTER MILK unit 200ML from brand AKSHAYAKALPA.",/home/ubuntu/upload/unzipped_products/Final_Products/AKSHAYAKALPA ORGANIC SPICED BUTTERMILK 200ML.png
47,ALL OUT,ALL OUT ANTI DENGUE COIL,26.41,40,40,,ANTI BACTERIA,706,8.90427E+12,7,"Product ALL OUT ANTI DENGUE COIL variant ANTI BACTERIA from brand ALL OUT.",/home/ubuntu/upload/unzipped_products/Final_Products/ALL OUT ANTI DENGUE COIL.png
48,ALL OUT,ALL OUT ULTRA 4 REFILLS,294.3,380,382,,GENERAL,708,8.90427E+12,7,"Product ALL OUT ULTRA 4 REFILLS variant GENERAL from brand ALL OUT.",/home/ubuntu/upload/unzipped_products/Final_Products/ALL OUT ULTRA 4 REFILLS.png
49,ALL OUT,ALL OUT ULTRA LIQUID B2 G1,127.12,165,165,,ULTRA GEL,709,8.90601E+12,7,"Product ALL OUT ULTRA LIQUID B2 G1 variant ULTRA GEL from brand ALL OUT.",/home/ubuntu/upload/unzipped_products/Final_Products/ALL OUT ULTRA LIQUID B2 G1.png
50,ALL OUT,ALL OUT ULTRA LIQUID VAPORISER 3 REFILLS,188.75,245,245,,ULTRA GEL,710,8.90601E+12,7,"Product ALL OUT ULTRA LIQUID VAPORISER 3 REFILLS variant ULTRA GEL from brand ALL OUT.",/home/ubuntu/upload/unzipped_products/Final_Products/ALL OUT ULTRA LIQUID VAPORISER 3 REFILLS.png
51,ALPS GOODNESS,ALPS GOODNESS ROSEMARY WATER 100ML,133.47,210,225,100ML,ROSE,744,8.90436E+12,2,"Product ALPS GOODNESS ROSEMARY WATER 100ML variant ROSE unit 100ML from brand ALPS GOODNESS.",/home/ubuntu/upload/unzipped_products/Final_Products/ALPS GOODNESS ROSEMARY WATER 100ML.png
52,AMIRTHAA,AMIRTHAA BADAM MILK 200ML,21.43,30,30,200ML,BADAM  MIX,906,8.90609E+12,2,Product AMIRTHAA BADAM MILK 200ML variant BADAM  MIX unit 200ML from brand AMIRTHAA.,/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA BADAM MILK 200ML.png
53,AMIRTHAA,AMIRTHAA BUTTERMILK,7.62,10,10,,BUTTERMILK,911,8.90609E+12,2,Product AMIRTHAA BUTTERMILK variant BUTTERMILK from brand AMIRTHAA.,/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA BUTTERMILK.png
54,AMIRTHAA,AMIRTHAA CHOCO 180ML,21.43,30,30,125G,CHOCO 125G,912,8.90609E+12,2,"Product AMIRTHAA CHOCO 180ML variant CHOCO 125G unit 125G from brand AMIRTHAA.",/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA CHOCO 180ML.png
55,AMIRTHAA,AMIRTHAA CHOCO MILKSHAKE,21.43,35,35,,CHOCOLATE,913,8.90609E+12,2,Product AMIRTHAA CHOCO MILKSHAKE variant CHOCOLATE from brand AMIRTHAA.,/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA CHOCO MILKSHAKE.png
56,AMIRTHAA,AMIRTHAA MANGO FLAVOURED MILK,21.43,30,30,,MANGO FLAVOURED MILK,932,8.90609E+12,2,Product AMIRTHAA MANGO FLAVOURED MILK variant MANGO FLAVOURED MILK from brand AMIRTHAA.,/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA MANGO FLAVOURED MILK.png
57,AMIRTHAA,AMIRTHAA MANGO MANIA 200ML,21.43,35,35,200ML,MANGO MANIA,933,8.90609E+12,2,"Product AMIRTHAA MANGO MANIA 200ML variant MANGO MANIA unit 200ML from brand AMIRTHAA.",/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA MANGO MANIA 200ML.png
58,AMIRTHAA,AMIRTHAA ROSE FLAVOURED MILK,21.43,30,30,,ROSE,940,8.90609E+12,2,Product AMIRTHAA ROSE FLAVOURED MILK variant ROSE from brand AMIRTHAA.,/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA ROSE FLAVOURED MILK.png
59,AMIRTHAA,AMIRTHAA ROSE MILK 200G,25,35,35,200G,ROSE MILK 200G,942,8.90609E+12,2,"Product AMIRTHAA ROSE MILK 200G variant ROSE MILK 200G unit 200G from brand AMIRTHAA.",/home/ubuntu/upload/unzipped_products/Final_Products/AMIRTHAA ROSE MILK 200G.png
60,AMUL,AMUL CHEESE 100G,59.83,73,73,100G,CHEESE,1056,8.90126E+12,6,"Product AMUL CHEESE 100G variant CHEESE unit 100G from brand AMUL.",/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE 100G.png
61,AMUL,AMUL CHEESE CUBES,,0,,,CHEESE,1059,11164,6,Product AMUL CHEESE CUBES variant CHEESE from brand AMUL.,/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE CUBES.png
62,AMUL,AMUL CHEESE CUBES 200G,104.09,125,127,200G,CHEESE CUBES 200G,1060,8.90126E+12,6,"Product AMUL CHEESE CUBES 200G variant CHEESE CUBES 200G unit 200G from brand AMUL.",/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE CUBES 200G.png
63,AMUL,AMUL CHEESE CUBES 40,14.81,20,20,,CHEESE,1065,,6,Product AMUL CHEESE CUBES 40 variant CHEESE from brand AMUL.,/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE CUBES 40.png
64,AMUL,AMUL CHEESE SLICE 200G,114.75,140,140,200G,CHEESE SLICE,1066,8.90126E+12,6,"Product AMUL CHEESE SLICE 200G variant CHEESE SLICE unit 200G from brand AMUL.",/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE SLICE 200G.png
65,AMUL,AMUL CHEESE SPREAD,77.21,94,94,,CHEESE SPREAD,1071,8.90126E+12,6,"Product AMUL CHEESE SPREAD variant CHEESE SPREAD from brand AMUL.",/home/ubuntu/upload/unzipped_products/Final_Products/AMUL CHEESE SPREAD.png
66,AQUA,AQUAFINA DRINKING WATER 2L,21.66,35,35,2L,WATER,2034,8.90208E+12,2,Product AQUAFINA DRINKING WATER 2L variant WATER unit 2L from brand AQUA.,/home/ubuntu/upload/unzipped_products/Final_Products/AQUAFINA DRINKING WATER 2L.png
67,AQUA,AQUAFINA WATER 250ML,4.24,7,7,250ML,WATER,2036,8.90208E+12,2,Product AQUAFINA WATER 250ML variant WATER unit 250ML from brand AQUA.,/home/ubuntu/upload/unzipped_products/Final_Products/AQUAFINA WATER 250ML.png
68,AQUA,AQUAFINA WATER 500ML,6.63,10,10,500ML,WATER,2037,8.90208E+12,2,Product AQUAFINA WATER 500ML variant WATER unit 500ML from brand AQUA.,/home/ubuntu/upload/unzipped_products/Final_Products/AQUAFINA WATER 500ML.png
69,ARIEL,ARIEL COLOUR CARE SEMI-AM WM & HW 3KG,455.12,570,580,3KG,COLOUR CARE,2056,4.98718E+12,7,Product ARIEL COLOUR CARE SEMI-AM WM & HW 3KG variant COLOUR CARE unit 3KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL COLOUR CARE SEMI-AM WM & HW 3KG.png
70,ARIEL,ARIEL COMPLETE 500+200FREE,125.55,160,160,140GM,COMPLETE CAREE 140GM,2057,4.98718E+12,7,Product ARIEL COMPLETE 500+200FREE variant COMPLETE CAREE 140GM unit 140GM from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL COMPLETE 500+200FREE.png
71,ARIEL,ARIEL COMPLETE SEMI-AUTO & HW 500G,77.69,99,99,140GM,COMPLETE CAREE 140GM,2061,4.98718E+12,7,Product ARIEL COMPLETE SEMI-AUTO & HW 500G variant COMPLETE CAREE 140GM unit 140GM from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL COMPLETE SEMI-AUTO & HW 500G.png
72,ARIEL,ARIEL FL 4+2KG+IL LIQ FREE,1167.26,1369,1460,2KG,FRONT LOAD PWDR,2066,4.98718E+12,7,Product ARIEL FL 4+2KG+IL LIQ FREE variant FRONT LOAD PWDR unit 2KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL FL 4+2KG+IL LIQ FREE.png
73,ARIEL,ARIEL FRONT LOAD DETERGENT PWDR 1KG,196.17,225,250,1KG,FRONT LOAD PWDR,2071,4.98718E+12,7,Product ARIEL FL LIQUID 2.5L variant LIQUID unit 2.5L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL FRONT LOAD DETERGENT PWDR 1KG.png
74,ARIEL,ARIEL FRONT LOAD LIQ 500ML,116.14,148,148,500ML,FRONT LOAD PWDR,2073,4.98718E+12,7,Product ARIEL FRONT LOAD DETERGENT PWDR 1KG variant FRONT LOAD PWDR unit 1KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL FRONT LOAD LIQ 500ML.png
75,ARIEL,ARIEL FRONT LOAD LIQUID 2L,380.58,470,485,2L,FRONT LOAD PWDR,2075,4.98718E+12,7,Product ARIEL FRONT LOAD LIQUID 2L variant FRONT LOAD PWDR unit 2L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL FRONT LOAD LIQUID 2L.png
76,ARIEL,ARIEL HAND WASH DETERGENT POWDER 500G,105.93,135,135,500G,HAND WASH,2081,4.98718E+12,7,Product ARIEL HAND WASH DETERGENT POWDER 500G variant HAND WASH unit 500G from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL HAND WASH DETERGENT POWDER 500G.png
77,ARIEL,ARIEL MATIC 4+2 FRONT LOAD DETERGENT POWDER,980.85,1150,1250,,ARIEL MATIC 4+2 FRONT LOAD,2086,4.98718E+12,7,Product ARIEL MATIC 4+2 FRONT LOAD DETERGENT POWDER variant ARIEL MATIC 4+2 FRONT LOAD from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC 4+2 FRONT LOAD DETERGENT POWDER.png
78,ARIEL,ARIEL MATIC DETERGENT POWDER TOP LOAD 1KG,227.56,290,290,1KG,MATIC TOP LOAD,2088,4.98718E+12,7,Product ARIEL MATIC DETERGENT POWDER TOP LOAD 1KG variant MATIC TOP LOAD unit 1KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC DETERGENT POWDER TOP LOAD 1KG.png
79,ARIEL,ARIEL MATIC FL DETERGENT POWDER 2KG,385.74,599,660,2KG,MATIC FRNT LOAD 2KG,2090,4.98718E+12,7,Product ARIEL MATIC FL DETERGENT POWDER 2KG variant MATIC FRNT LOAD 2KG unit 2KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC FL DETERGENT POWDER 2KG.png
80,ARIEL,ARIEL MATIC LIQ FL- 990ML,143.59,180,183,1L,MATIC LIQ F L 1L,2098,4.98718E+12,7,Product ARIEL MATIC LIQ FL- 990ML variant MATIC LIQ F L 1L unit 1L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC LIQ FL- 990ML.png
81,ARIEL,ARIEL MATIC LIQ FL-1L POUCH,152.92,198,203,1L,FRONT LOAD PWDR,2099,4.98718E+12,7,Product ARIEL MATIC LIQ FL-1L POUCH variant FRONT LOAD PWDR unit 1L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC LIQ FL-1L POUCH.png
82,ARIEL,ARIEL MATIC LIQ FL-50ML,7.49,10,10,1L,MATIC LIQ F L 1L,2102,4.98718E+12,7,Product ARIEL MATIC LIQ FL-50ML variant MATIC LIQ F L 1L unit 1L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC LIQ FL-50ML.png
83,ARIEL,ARIEL MATIC LIQ TL-1L POUCH,135.75,165,173,1L,MATIC LIQ F L 1L,2103,4.98718E+12,7,Product ARIEL MATIC LIQ TL-1L POUCH variant MATIC LIQ F L 1L unit 1L from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL MATIC LIQ TL-1L POUCH.png
84,ARIEL,ARIEL PERFECT WASH,7.21,10,10,,PERFECT,2130,4.98718E+12,7,Product ARIEL PERFECT WASH variant PERFECT from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL PERFECT WASH.png
85,ARIEL,ARIEL PERFECT WASH 500G,69.65,90,90,500G,PERFECT WASH,2134,4.98718E+12,7,Product ARIEL PERFECT WASH 500G variant PERFECT WASH unit 500G from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL PERFECT WASH 500G.png
86,ARIEL,ARIEL PERFECT WASH 65G,7.21,10,10,65G,PERFECT WASH,2138,4.98718E+12,7,Product ARIEL PERFECT WASH 65G variant PERFECT WASH unit 65G from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL PERFECT WASH 65G.png
87,ARIEL,ARIEL SEMI-AUTO & HAND WASH PWDR 3KG,455.12,575,580,3KG,HAND WASH,2143,4.90243E+12,7,Product ARIEL SEMI-AUTO & HAND WASH PWDR 3KG variant HAND WASH unit 3KG from brand ARIEL.,/home/ubuntu/upload/unzipped_products/Final_Products/ARIEL SEMI-AUTO & HAND WASH PWDR 3KG.png
88,ASAL,ASAL MILK BREAD,40,50,50,,MILK,2280,8.908E+12,2,Product ASAL MILK BREAD variant MILK from brand ASAL.,/home/ubuntu/upload/unzipped_products/Final_Products/ASAL MILK BREAD.png
89,B,B FIZZ 250ML,6.42,10,10,250ML,FIZZ B,2399,8.90258E+12,2,Product B FIZZ 250ML variant FIZZ B unit 250ML from brand B.,/home/ubuntu/upload/unzipped_products/Final_Products/B FIZZ 250ML.png
